N,85,,,*,1,1,AND,0,21,25.5,+,22,30,44,15.8,14.8,1,13.5,0.7,0.5,146,S0,1375,"NGC 85A","MCG 4-2-7","CGCG 479-9","NPM1G +22.0017",,,,,,,
N,85,A,,,7,1,AND,0,21,25.5,+,22,30,44,15.8,14.8,1,13.5,0.7,0.5,146,S0,1375,"NGC 85","MCG 4-2-7","CGCG 479-9","NPM1G +22.0017",,,,,,,
N,85,B,,,8,1,AND,0,21,29.1,+,22,30,23,15.5,14.7,0.8,13.1,0.9,0.3,129,Sbc,1382,"IC 1546","MCG 4-2-8","CGCG 479-10",,,,,,,,
N,86,,,*,1,1,AND,0,21,28.6,+,22,33,23,15.7,14.8,0.9,13,0.7,0.3,9,S?,1383,"MCG 4-2-9","CGCG 479-11",,,,,,,,,
N,87,,,*,1,1,PHE,0,21,14.2,-,48,37,44,14.7,14.3,0.4,13.7,0.9,0.7,171,IBm/P,1357,"ESO 194-8","AM 0018-485",,,,,,,,,
N,88,,,*,1,1,PHE,0,21,22,-,48,38,23,15,14.4,0.6,13.3,0.8,0.5,145,SB0-a,1370,"ESO 194-10","AM 0018-485",,,,,,,,,
N,89,,,*,1,1,PHE,0,21,24.3,-,48,39,55,14.2,13.5,0.7,13,1.2,0.6,148,SB0-a,1374,"ESO 194-11","AM 0018-485",,,,,,,,,
N,90,,,*,1,1,AND,0,21,51.6,+,22,24,2,14.5,13.7,0.8,14,1.9,0.8,132,SBc,1405,"UGC 208","MCG 4-2-11","CGCG 479-13","Arp 65",,,,,,,
N,91,,,*,9,1,AND,0,21,51.7,+,22,22,8,15.1,,,,,,,*,,,,,,,,,,,,
N,92,,,*,1,1,PHE,0,21,31.4,-,48,37,29,13.8,13.1,0.7,13.6,1.9,0.9,148,Sa,1388,"ESO 194-12","AM 0018-485",,,,,,,,,
N,93,,,*,1,1,AND,0,22,3.4,+,22,24,32,14.3,13.2,1.1,12.8,1.4,0.6,48,Sb,1412,"UGC 209","MCG 4-2-12","CGCG 479-15","Arp 65",,,,,,,
